nummer	path	filter	prompt	titel	autor	projektuebersicht																									
37	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/OduroMensah_Gwen_Debrah_Eunice/013_adaption_OduroMensah_Debrah05.jpg	Objekt Create the monolith inspired by the movie a space odyssey. Curved elements and wholes. Retro style and colors. Fashio and new. Negative prompts: orange Gwen Oduro-Mensah Eunice Debrah																													
38	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/OduroMensah_Gwen_Debrah_Eunice/013_adapton_OduroMensah_Debrah01.jpg	Objekt Create the monolith inspired by the movie a space odyssey. Curved elements and wholes. Retro style and colors. Fashio and new. Negative prompts: no human Gwen Oduro-Mensah Eunice Debrah																													
38	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Meyer_Swaantje/03_Adaptionen_Meyer_Swaantje_AshesToSpace_055_013.jpg	Adaptionen  an upside down pyramid with a transparent glass gate. It is hovering a few inches above the ground. It is out in the open. The background landscape is that of a deserted, dystopian planet that is hostile to life. An eerie and blurry light that seems to have no source is giving everything a surreal atmosphere.  Landender Monolith 1/4  Swaantje Meyer  meyer																													
39	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Meyer_Swaantje/03_Adaptionen_Meyer_Swaantje_AshesToSpace_056_013.jpg	Adaptionen  an upside down pyramid with a transparent glass gate. It is hovering a few inches above the ground. It is out in the open. The background landscape is that of a deserted, dystopian planet that is hostile to life. An eerie and blurry light that seems to have no source is giving everything a surreal atmosphere.  Landender Monolith 2/4  Swaantje Meyer  meyer																													
40	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Meyer_Swaantje/03_Adaptionen_Meyer_Swaantje_AshesToSpace_057_013.jpg	Adaptionen  an upside down pyramid with a transparent glass gate. It is hovering a few inches above the ground. It is out in the open. The background landscape is that of a deserted, dystopian planet that is hostile to life. An eerie and blurry light that seems to have no source is giving everything a surreal atmosphere.  Landender Monolith 3/4  Swaantje Meyer  meyer																													
41	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Meyer_Swaantje/03_Adaptionen_Meyer_Swaantje_AshesToSpace_058_013.jpg	Adaptionen  an inverted, free standing pyramid with a transparent glass gate. It is hovering a few inches above the ground. It is out in the open. The background landscape is that of a deserted, dystopian planet that is hostile to life. An eerie and blurry light that seems to have no source is giving everything a surreal atmosphere.  Landender Monolith 4/4  Swaantje Meyer  meyer																													
42	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Meyer_Swaantje/03_Adaptionen_Meyer_Swaantje_AshesToSpace_059_013.jpg	Adaptionen  an inverted, free standing pyramid with a transparent glass gate. It is hovering a few inches above the ground. It is out in the open. The background landscape is that of a deserted, dystopian planet that is hostile to life. An eerie and blurry light that seems to have no source is giving everything a surreal atmosphere.  Monolith 1/3  Swaantje Meyer  meyer																													
43	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Meyer_Swaantje/03_Adaptionen_Meyer_Swaantje_AshesToSpace_060_013.jpg	Adaptionen  an upside down pyramid with a transparent glass gate. It is hovering a few inches above the ground. It is out in the open. The background landscape is that of a deserted, dystopian planet that is hostile to life. An eerie and blurry light that seems to have no source is giving everything a surreal atmosphere.  Monolith 2/3  Swaantje Meyer  meyer																													
44	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Ries_Johanna/03_Adaption_Ries_Johanna_013.jpg	Adaptionen	Simple rectangular stone monolith in a desolate landscape; Smooth surface of the mountains; It should look like it was printed from a 3D printer;  SpacePrint  Johanna Ries  ries																												
45	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Blumstein_Alina/01_Szenen_Blumstein_Alina_013.jpg	Szenen	Everything melts heavily, abstract, art  Abstract Monolith  Alina Blumstein  blumstein																												
01	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Rothe_P_Langer_J/01_Charaktere_Paul_Rothe_013.jpg	Charaktere  https://s.mj.run/2dSI4r8FHEQ male Egyptian military leader fighting against an army on stage wearing a space suit from a space odyssey, costume design Iris van Herpen mixed with digital screens and inspired by the movie 2001: a space odyssey, kodak 800, full fram --style 2tO1HJiv5yw8O2c4sB2XCFfCJ --ar 16:9 --v 5.2 --iw 0  survival of the fittest  Paul und Jannis  rothe																													
02	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Rothe_P_Langer_J/02_Charaktere_Paul_Rothe_013.jpg	Charaktere  https://s.mj.run/VqxMuQOY0WY male Egyptian military leader fighting against an army on stage wearing a space suit from a space odyssey, costume design Iris van Herpen mixed with digital screens and inspired by the movie 2001: a space odyssey, kodak 800, full fram --style 2tO1HJiv5yw8O2c4sB2XCFfCJ --ar 16:9 --v 5.2 --iw 0  survival of the fittest  Paul und Jannis  rothe																													
02	\Datenbank\Videos\03_Adaption_Kroeger_Alexandra_013.mp4	Adaption	create an abstract yet spatial representation using only the colors bright yellow, beige, and cool blue	Ligeti:Requiem	Alexandra Kroeger  																										
48	hhttps://github.com/maroeplin/bvk-128-03/blob/main/Projektserie/Thuernau_Laura/01_Szenen_Thuernau_Laura_Monolith_013.jpg  Szenen  As the monolith crumbles and falls, its shattered pieces take flight, swirling and dancing in the air like a chaotic symphony  Monolith  Laura Thuernau  thuernau																														
00	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/013/00_Gisevius_Sara_Monolith_1.jpg  Objekte	Create a rectangular halfway see-through air inflated monolith out of halfway see-through plasticfoil on a lost planet  Der Monolith 1  Sara Gisevius  gisevius																													
00	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/013/00_Gisevius_Sara_Monolith_2.jpg  Objekte	Create a rectangular halfway see-through air inflated monolith out of halfway see-through plasticfoil on a lost planet  Der Monolith 2  Sara Gisevius  gisevius																													
>>>>>>> 167ed699a8c13df8bf4d22015ebd1201db667272
11  https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/013/11_Objekte_Dess_Yannick_Monolith.jpg  Objekte  monolith like box object pcb traces circuit board pattern switches technical military device details. Generate an cinematic photorealistic image featuring a static scene from a movie. The scene depicts a gigantic 1:4:9 cuboid metal steel colored worn-out monolith all over details like a transistor board, symmetrical pcb traces, copper lines electrical pattern, circuit board pattern with slots on its surface. The monolith is situated in a sand ground and a rugged, jagged, and rocky grey dystopic desert landscape. In the sky, a blurry colorless cloudy rainy sunset unfolds, transitioning from a gray-blue hue to shades of lighter grey. dystopic weather  Monolith  Yannick Dess  dess
19	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Hoelzer_Celina/00_Objekte_Hoelzer_Monolith.jpg	Objekte	Generate a scene featuring a colossal rectangular structure, its surface reminiscent of the monolithic aesthetic found in the Dolomite scenes from '2001: A Space Odyssey.' The massive form, crafted from a rich wooden material, should exhibit a subtle flatness. Adorn this imposing structure with a striking 70s-inspired pattern, utilizing warm and inviting colors such as orange, green, and yellow. Set this wooden monolith against the backdrop of a lush green field, creating a visually arresting composition that seamlessly combines the surreal essence of sci-fi with the nostalgic charm of 70s design.	Monolith	Celina Hoelzer	hoelzer
11 https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/013/11_Objekte_Dess_Yannick_Monolith-3.jpg  Objekte  monolith like box object pcb traces circuit board pattern switches technical military device details. Generate an cinematic photorealistic image featuring a static scene from a movie. The scene depicts a gigantic 1:4:9 cuboid metal steel colored worn-out monolith all over details like a transistor board, symmetrical pcb traces, copper lines electrical pattern, circuit board pattern with slots on its surface. The monolith is situated in a sand ground and a rugged, jagged, and rocky grey dystopic desert landscape. In the sky, a blurry colorless cloudy rainy sunset unfolds, transitioning from a gray-blue hue to shades of lighter grey. dystopic weather  Monolith 3  Yannick Deß  dess
11  https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/013/11_Objekte_Dess_Yannick_Monolith_2.jpg  Objekte  monolith like box object pcb traces circuit board pattern switches technical military device details. Generate an cinematic photorealistic image featuring a static scene from a movie. The scene depicts a gigantic 1:4:9 cuboid metal steel colored worn-out monolith all over details like a transistor board, symmetrical pcb traces, copper lines electrical pattern, circuit board pattern with slots on its surface. The monolith is situated in a sand ground and a rugged, jagged, and rocky grey dystopic desert landscape. In the sky, a blurry colorless cloudy rainy sunset unfolds, transitioning from a gray-blue hue to shades of lighter grey. dystopic weather  Monolith 2  Yannick Deß  dess
